약국 이름,주소,경도,위도
대성약국,전라남도 목포시 양을로41번길 1 (산정동),126.3807767,34.8018343
대인약국,전라남도 목포시 원산중앙로 96 (연산동),126.3812968,34.8119173
대동약국,전라남도 목포시 노적봉길 18 (죽동),126.3836388,34.7900348
성모약국,전라남도 목포시 번화로 39-1 (중앙동1가),126.3838193,34.7865008
조제약국,전라남도 목포시 호남로58번길 28 (창평동),126.3840859,34.7920442
민중약국,전라남도 목포시 만호로 40 (항동),126.3847562,34.7840016
도원약국,전라남도 목포시 호남로64번길 27 (대안동),126.3849013,34.7918671
뉴세브란스약국,전라남도 목포시 수문로 8 (대안동),126.3852213,34.7916198
평화약국,전라남도 목포시 노적봉길 2 (명륜동),126.3853934,34.7902393
금호약국(역전),전라남도 목포시 영산로 89 (명륜동),126.3854891,34.790639
호남약국,전라남도 목포시 영산로 95-2 (명륜동),126.3856355,34.7911856
메디팜정원약국,전라남도 목포시 산정로 275-1 (연산동),126.3859546,34.8116066
조약국,전라남도 목포시 양을로 145 (산정동),126.3862765,34.8095471
천지약국,전라남도 목포시 수강로12번길 12-3 (행복동1가),126.386374,34.786663
한일약국,전라남도 목포시 호남로 71 (호남동),126.3865237,34.7941709
하나약국,전라남도 목포시 청호로 8 (호남동),126.3865346,34.7961828
휴베이스 최약국,전라남도 목포시 삼학로16번길 6 1층 (상락동2가),126.3867175,34.7898023
목포광주약국,전라남도 목포시 해안로229번길 2-1 (영해동1가),126.3867961,34.7857882
산정힐링약국,전라남도 목포시 양을로 151 1층 (산정동),126.3868856,34.8100121
삼일온누리약국,전라남도 목포시 삼학로 20 (호남동),126.3878538,34.7900636
소화약국,전라남도 목포시 삼학로 30 (호남동),126.3887933,34.7902029
부흥약국,인천광역시 강화군 내가면 강화서로 223 (내가면),126.3908558,37.7166789
늘푸른약국,전라남도 목포시 용해지구로 85 (연산동),126.3913775,34.8200444
수정약국,전라남도 목포시 해안로 283 (동명동),126.3914166,34.7886983
동방약국,전라남도 목포시 산정로97번길 14-1 (산정동),126.3914695,34.7969806
제일약국,전라남도 무안군 망운면 압창길 4 (망운면),126.3918617,35.0120916
대림약국,전라남도 목포시 산대로2번길 2 1층 (산정동),126.3921793,34.8023999
예방원한약국,전라남도 목포시 연산백련로1번길 8-9 (연산동),126.3923896,34.8160809
부석약국,충청남도 서산시 부석면 취평2길 14 (),126.3925401,36.7132402
독일약국,전라남도 목포시 산정로 145 (산정동),126.3926643,34.8016192
튼튼약국,전라남도 목포시 산정로 146 (산정동),126.3930511,34.8015696
장약국,전라남도 목포시 산정로 118 (산정동),126.3931862,34.7991056
비전약국,전라남도 목포시 영산로 246 (산정동),126.3933044,34.8026086
혜민약국,전라남도 목포시 영산로 249 (용당동),126.3935133,34.8032686
초당약국,전라남도 목포시 영산로 251 (용당동),126.3936616,34.8033489
백세약국,전라남도 목포시 영산로 253 1층 (용당동),126.3938532,34.8034538
굿모닝약국,전라남도 목포시 영산로 250-1 (용당동),126.3939121,34.8029329
삼성약국,전라남도 목포시 자유로 41 (산정동),126.394209,34.7937609
미보약국,전라남도 목포시 동명주택길 1 (산정동),126.397238,34.7903312
포미약국,전라남도 목포시 용해지구로 12 (용해동),126.398106,34.8174244
플러스약국,전라남도 목포시 용해지구로 11 (용해동),126.3981273,34.8169719
성남약국,전라남도 목포시 용당로 197 (용당동),126.3984016,34.8046035
서울약국,전라남도 목포시 용당로 232 (용당동),126.3987365,34.8075996
샘터약국,전라남도 목포시 영산로 304-1 (용당동),126.39898,34.8052178
대진약국,전라남도 목포시 용당로 281 종원빌딩 (용해동),126.3990788,34.8123212
조은약국,전라남도 목포시 용당로 339 1층 (용해동),126.3992166,34.8169692
세신약국,전라남도 목포시 용당로 159 (용당동),126.4003301,34.8015667
메디팜태평양약국,전라남도 목포시 영산로 320 (용당동),126.4004855,34.8054087
다나약국,전라남도 목포시 용당로 322-3 (용해동),126.4008582,34.8160317
하귀약국,제주특별자치도 제주시 애월읍 하귀로 35 (애월읍),126.4009964,33.4803479
시장약국,전라남도 목포시 용당로 57 (산정동),126.4017981,34.7926357
소망약국,전라남도 목포시 용당로 53 (산정동),126.4018737,34.7924049
시온약국,전라남도 목포시 영산로 335 (용당동),126.4020758,34.8061268
예사랑약국,전라남도 목포시 용당로 40 (산정동),126.4023013,34.7911687
가나약국,전라남도 목포시 영산로 343 1층 (용당동),126.4028925,34.8062438
한빛약국,전라남도 목포시 영산로 343-1 (용당동),126.4030398,34.8062423
송약국,제주특별자치도 제주시 애월읍 하귀로 77 (애월읍),126.4050264,33.4817434
메디팜명문약국,전라남도 목포시 이로로 14 (용해동),126.405621,34.8043817
미소약국,전라남도 목포시 이로로 12 (용해동),126.4056489,34.8046029
다나은약국,"전라남도 목포시 이로로9번길 6 (용해동, 바른학원)",126.4059495,34.8042982
하귀하나로약국,제주특별자치도 제주시 애월읍 일주서로 7136 (애월읍),126.412296,33.4850417
무궁화약국,전라남도 목포시 상동로 66 주공3단지아파트 상가동 115호 (상동),126.413475,34.8153583
메디팜보령약국,전라남도 목포시 상리로1번길 23 (상동),126.4142997,34.8130222
곰온누리약국,제주특별자치도 제주시 애월읍 하귀9길 2 1층 106호,126.4145637,33.4864159
유달약국,전라남도 목포시 하당로153번길 4 (상동),126.414575,34.8055167
동백약국,제주특별자치도 제주시 애월읍 하귀9길 1 1층 103호,126.4149693,33.4867393
미래약국,전라남도 목포시 상리로1번길 13 (상동),126.4149912,34.812398
이수약국,전라남도 목포시 중화길 13 (상동),126.4158627,34.8090558
건강약국,전라남도 목포시 중화길 16 (상동),126.4160133,34.8092781
정문약국,전라남도 목포시 영산로 475 (상동),126.4162987,34.808522
