약국 이름,주소,경도,위도
수성약국,서울특별시 노원구 상계로1길 66 1층 102호 (상계동),127.061509,37.6589951
부활약국,"서울특별시 강남구 영동대로112길 15 103호 (삼성동, 풍림아파트상가)",127.0615148,37.5155186
365정화약국,"서울특별시 노원구 상계로 59 동익빌딩 1층 7,8호 (상계동)",127.061536,37.656168
종로프라자약국,서울특별시 노원구 동일로 1353 (상계동),127.0615724,37.649424
참말로 친절한 약국,서울특별시 노원구  동일로 1382 (상계동),127.061574,37.6519768
예원약국,경기도 수원시 영통구 덕영대로1555번길 46 롯데크리닉상가 (영통동),127.0615982,37.2482591
건강백세약국,"경기도 의정부시 금신로 323 109호 (신곡동, 대명프라자빌딩)",127.0616627,37.7447767
튼튼온누리약국,충청남도 아산시 탕정면 탕정면로 37 2층 207호 (탕정삼성트라팰리스아파트),127.0616723,36.8008436
보룡약국,서울특별시 노원구 동일로 1380 상계동 국민은행 (상계동),127.0616737,37.65174
새시장약국,경기도 평택시 지산로 60 (지산동),127.0616764,37.0796075
건강플러스약국,서울특별시 노원구 상계로1길 38 (상계동),127.0617128,37.6577232
대치이화약국,"서울특별시 강남구 역삼로 536 3층 (대치동, 동성빌딩)",127.0617184,37.5038257
사랑약국,"서울특별시 노원구 노해로 482 4층 (상계동, 덕영빌딩)",127.0617327,37.6542666
으뜸약국,경기도 의정부시 능곡로 66 상가동105호 으뜸마을신명아파트 (신곡동),127.0617645,37.7433216
푸른약국,경기도 동두천시 삼육사로 1007 (생연동),127.0617812,37.8994387
한가람약국,서울특별시 동대문구 망우로 77 1층 (휘경동),127.0617848,37.5902089
아인온누리약국,경기도 오산시 청학로 238 홈플러스 2층 (수청동),127.0618088,37.1701442
맘편한약국,"경기도 화성시 효행로 1337-23 201동 108호 (반월동, e편한세상 신동탄)",127.0618121,37.2253506
혁신코끼리약국,전라북도 전주시 덕진구 기지로 91 108호 (장동),127.0618364,35.8386484
소담약국,"서울특별시 노원구 상계로1길 14-11 A동 103호 (상계동, 하이웰빙상가)",127.0618369,37.6569219
오약국,경기도 평택시 관광특구로 25 (서정동),127.0618507,37.0672169
유미약국,경기도 평택시 지산로 62 (지산동),127.06187,37.0796669
윈플러스약국,"서울특별시 강남구 남부순환로 2936 108호 (대치동, 윈플러스상가 )",127.0618767,37.493385
우리대치약국,서울특별시 강남구 남부순환로 2936 윈플러스상가 1층 102호 (대치동),127.0618767,37.493385
노원프라자약국,서울특별시 노원구 동일로 1345 (상계동),127.0618788,37.6487066
아름다운온누리약국,서울특별시 노원구 동일로 1370 1층 (상계동),127.0618793,37.6509222
성실약국,충청남도 아산시 배방읍 배방로 158 (삼성전자 온양사업장 복지매장 2층),127.061891,36.7691147
노원행복한약국,"서울특별시 노원구 상계로 63-7 1층 (상계동, 청우빌딩)",127.0618955,37.6565125
메디팜동아약국,서울특별시 동대문구 한천로 55 (답십리동),127.0618992,37.5669118
라임약국,"서울특별시 노원구 노해로 485 101호 (상계동, 금정빌딩)",127.0619421,37.6548787
메타팜약국,서울특별시 강남구 남부순환로 2941 101호 (대치동),127.0619463,37.4942695
우리약국,경기도 동두천시 생골로 36 (생연동),127.061973,37.9001186
엄마약국,서울특별시 동대문구 휘경로 15 4층 402호 (이문동),127.0619761,37.5959308
시온약국,경기도 오산시 청학로173번길 18 (수청동),127.0620078,37.164166
새싹약국,"서울특별시 동대문구 이문로 136 1층 109호 (이문동, 웰츠타워)",127.0620109,37.598389
동일약국,"서울특별시 노원구 동일로 1343 305호 (상계동, 동일프라자)",127.0620148,37.6484977
우리들위생약국,서울특별시 동대문구 망우로 78 1층 (휘경동),127.0620255,37.5897637
송탄드림약국,경기도 평택시 지산로 64 1층 (지산동),127.0620647,37.0797134
장약국,"서울특별시 노원구 노해로 488 106호 (상계동, 근호빌딩)",127.0621841,37.6543238
수지성서약국,경기도 용인시 수지구 성복2로 230 106호 (성복동),127.062201,37.3199389
청춘약국,경기도 양주시 화합로 1339 (덕정동),127.0622412,37.8456271
행복한정약국,서울특별시 동대문구 이문로 188 1층 (이문동),127.062244,37.6033743
연수약국,서울특별시 노원구 상계로 65 304호 (상계동),127.0622597,37.6563604
크로바약국,서울특별시 동대문구 망우로 80 1층 (휘경동),127.0622638,37.589786
영통약국,"경기도 수원시 영통구 영통로290번길 23 103호 (영통동, 신나무실주공아파트 상가)",127.0622802,37.2517906
허지웅약국,서울특별시 강남구 테헤란로 532 1층 105호 (대치동),127.0622887,37.5082158
혜중약국,서울특별시 동대문구 이문로 186 (이문동),127.0622929,37.6031891
상계동문약국,"서울특별시 노원구 동일로 1352 1층 (상계동, 형인빌딩)",127.0623148,37.6494038
영림약국,서울특별시 동대문구 망우로21길 16 1층 (휘경동),127.0623303,37.5905241
큰사랑약국,"경기도 오산시 외삼미로 60-45 1, 2층 (외삼미동)",127.0623433,37.1901764
다사랑약국,경기도 의정부시 시민로 247 (신곡동),127.0623479,37.7359921
메디팜사랑약국,서울특별시 동대문구 망우로18길 6 1층 (휘경동),127.0623731,37.5896281
다나약국,"경기도 평택시 지산로 70 1층 101호 (지산동, 부천프라자)",127.0623914,37.0798033
감초당약국,경기도 양주시 화합로 1357 (덕정동),127.062406,37.8438445
백약국,"서울특별시 노원구 동일로 1350 105호, 106호 (상계동)",127.0624191,37.6492333
빠른약국,"서울특별시 노원구 동일로 1350 107호, 108호 (상계동)",127.0624191,37.6492333
건강한생활약국,서울특별시 노원구 노해로 490 길빌딩 1층 107호 (상계동),127.0624289,37.654416
동탄하나약국,경기도 화성시 동탄공원로3길 36 1층 (반송동),127.0624534,37.2082337
새비홍약국,서울특별시 성북구 한천로 580 1층 (석관동),127.0624581,37.6113876
365시티약국,"경기도 양주시 화합로 1361 102호 (덕정동, 아트시티)",127.0624848,37.8435655
성심온누리약국,"서울특별시 노원구 석계로 49 (월계동, 현대아파트 주상가 122호)",127.0624862,37.6189661
킴스팜대보약국,서울특별시 동대문구 휘경로3길 4 이문동빌딩 1층 (이문동),127.0625005,37.5958026
우리약국,경기도 의정부시 금신로 318 (신곡동),127.0625396,37.7449688
탑마을오렌지약국,"경기도 성남시 분당구 야탑로69번길 21 109-111호 (야탑동, 영진다이비스상가)",127.0625426,37.7449671
대원약국,서울특별시 성북구 돌곶이로14길 51 (석관동),127.0625464,37.6089175
휘경약국,서울특별시 동대문구 망우로21가길 10 (휘경동),127.0625522,37.5907851
GS약국,경기도 평택시 관광특구로 31 (서정동),127.0625582,37.0671053
참조은약국,서울특별시 노원구 상계로3길 10 한일빌딩 106호 (상계동),127.0625748,37.6567056
손약국,서울특별시 노원구 상계로3길 10 한일빌딩 304호 (상계동),127.0625748,37.6567056
상보약국,서울특별시 성동구 동일로 83 (성수동2가),127.0626473,37.5403609
치료의빛예은약국,서울특별시 광진구 동일로 74 1층 102호 (자양동),127.0626863,37.5392721
신한약국,서울특별시 강남구 도곡로 515 2층 일부호 (대치동),127.0626942,37.4997818
넘버원삼육약국,서울특별시 동대문구 망우로18길 26 1층 (휘경동),127.0626945,37.5887909
미래팜약국,"서울특별시 노원구 노해로 492 102호, 103호 (상계동, 프린스빌딩)",127.0626968,37.6544635
연세약국,"서울특별시 노원구 노해로 492 204호 (상계동, 프린스빌딩)",127.0626968,37.6544635
소망온누리약국,경기도 의정부시 금신로 316 1층 (신곡동),127.0627424,37.744918
큰마음약국,충청남도 아산시 배방읍 모산로 181 1층,127.0627833,36.7756476
삼성온누리약국,서울특별시 강남구 테헤란로 534 글라스타워빌딩 지하1층 (대치동),127.0628172,37.5080512
미래약국,"서울특별시 노원구 상계로5길 32 금호프라자 110호, 111호 (상계동)",127.0628442,37.6571039
삼육정문약국,서울특별시 동대문구 망우로 86 1층 (휘경동),127.0628515,37.5900587
건강한약국,서울특별시 노원구 석계로9길 25 1층 오른쪽점포호 (월계동),127.062941,37.616952
동탄본약국,"경기도 화성시 동탄지성로 109 103호 (반송동, 골드프라자)",127.0629413,37.2083121
퍼스트약국,"서울특별시 강남구 삼성로 155 304-1호 (대치동, 대치퍼스트상가)",127.0629614,37.4938697
킴스약국,서울특별시 강남구 삼성로 155 대치퍼스트빌딩 1층 105호 (대치동),127.0629614,37.4938697
성모약국,경기도 양주시 독바위로 5 1층 일부 (덕정동),127.0629881,37.8410156
강남보선약국,"서울특별시 강남구 도곡로 516 107호 (대치동, 삼성상가)",127.0630094,37.4991911
삼성약국,경기도 평택시 관광특구로 37 (서정동),127.0630281,37.0670743
늘한마음약국,서울특별시 노원구 노해로 494 1층 109호 (상계동),127.0630491,37.6545423
한결약국,"서울특별시 노원구 노해로 494 207호 (상계동, 고려빌딩)",127.0630491,37.6545423
다온약국,"서울특별시 노원구 노해로 495 삼성빌딩 1층 102,103호 (상계동)",127.0631037,37.6551207
모산종로약국,충청남도 아산시 배방읍 모산로 185 (),127.0631343,36.775543
예은약국,경기도 평택시 오좌동길 9 (독곡동),127.0632981,37.0878547
솔빛약국,충청남도 아산시 탕정면 탕정로 380-2 3층 (삼성SMD),127.0633012,36.8191965
자연약국,서울특별시 동대문구 휘경로 31 1층 (이문동),127.0634204,37.5951869
석계태평양약국,"서울특별시 노원구 화랑로 321 (월계동, 1층)",127.0634983,37.6146935
노원약국,서울특별시 노원구 노해로 501 노원빌딩 1층 103호 (상계동),127.0635339,37.655226
바른손약국,서울특별시 동대문구 휘경로 34 (휘경동),127.0635526,37.5947809
종우약국,서울특별시 광진구 뚝섬로 480 1층 (자양동),127.0635633,37.5364286
온누리약국,"서울특별시 노원구 상계로5길 12 112호, 113호 (상계동, 동양메이저상가)",127.0635679,37.6577059
스마트온누리약국,서울특별시 광진구 동일로 92-1 1층 (자양동),127.0635902,37.5408266
좋은약국,"서울특별시 노원구 노해로 502 1층 (상계동, KT노원플라자별관)",127.0636241,37.654566
광교우리들약국,"경기도 수원시 영통구 중부대로 437 1층 (원천동, 홈플러스)",127.063651,37.2701012
송탄우리약국,"경기도 평택시 경기대로 1365 1층 (서정동, 한양빌딩)",127.0636646,37.0670039
강남새천년온누리약국,서울특별시 강남구 도곡로 523 1층 (대치동),127.0636948,37.5000675
신곡코코약국,경기도 의정부시 금신로 308 B1층 B102호 (신곡동),127.0636989,37.7446807
신승보약국,서울특별시 광진구 뚝섬로24길 11 1층 (자양동),127.0637011,37.5359547
신성모약국,서울특별시 광진구 뚝섬로24길 3 (자양동),127.0637721,37.5362748
라파온누리약국,경기도 오산시 성호대로 24 (오산동),127.0638142,37.1492309
장생약국,서울특별시 노원구 섬밭로 263 롯데상가1층 (중계동),127.0638313,37.639142
삼보약국,경기도 평택시 진위면 진위서로 2 1층 102호,127.0639218,37.1092492
센트럴약국,서울특별시 노원구 노해로 507 와우쇼핑몰 3층 309호 (상계동),127.063937,37.6554251
세브란스약국,"서울특별시 노원구 섬밭로 229 201호 (하계동, 벽산상가)",127.0639372,37.636219
참약국,"서울특별시 노원구 섬밭로 229 206-1호 (하계동, 벽산상가)",127.0639372,37.636219
한유약국,서울특별시 동대문구 한천로 89 (답십리동),127.0640022,37.569584
그린약국,"서울특별시 노원구 동일로 1279 211호 (중계동, 중계그린아파트 비이상가)",127.0640186,37.6430723
무지개온누리약국,서울특별시 노원구 화랑로 325 (월계동),127.0640504,37.6149399
다원약국,"경기도 수원시 영통구 매영로310번길 87 204호 (영통동, 동보.신명아파트)",127.064057,37.2506929
판도라봄약국,경기도 오산시 경기대로 534 1층 105호 (수청동),127.0640749,37.1706269
마음약국,충청남도 아산시 탕정면 삼성로 181 (),127.0641649,36.8142593
진선미약국,서울특별시 동대문구 한천로 86 (장안동),127.0641659,37.5691078
새하늘약국,"서울특별시 노원구 동일로 1308 1층 (중계동, 정안프라자)",127.064184,37.6459749
자인당약국,"서울특별시 노원구 노해로 506 112호 (상계동, 주공6단지 바상가)",127.0642252,37.6548335
유일약국,"경기도 평택시 지산로 85 (독곡동, 우남빌딩)",127.0642576,37.0806276
올리브약국,"서울특별시 노원구 동일로203가길 29 205호, 206호 (중계동, 브라운스톤중계)",127.0642714,37.6399301
하나약국,"서울특별시 노원구 동일로203가길 29 258호,259호 (중계동, 브라운스톤중계)",127.0642714,37.6399301
라라약국,"서울특별시 노원구 동일로203가길 29 271호, 272호 (중계동, 중계브라운스톤)",127.0642714,37.6399301
새봄약국,"서울특별시 노원구 동일로203가길 29 2층 290호 (중계동, 브라운스톤중계)",127.0642714,37.6399301
수라인 한약국,"서울특별시 강남구 영동대로114길 56 101-2호 (삼성동, 래미안 삼성1차)",127.0643054,37.5170204
밝은미소약국,서울특별시 노원구 석계로3길 3 한주빌딩 1층 (월계동),127.0643523,37.6155595
선우약국,경기도 양주시 회정로 101 (덕정동),127.0643658,37.8375523
세교엘약국,"경기도 오산시 내삼미로79번길 19 102,103호 (수청동)",127.0643748,37.1694653
조은약국,"경기도 의정부시 장곡로 554 103호 (신곡동, 광장빌딩)",127.0643869,37.7487164
미르약국,경기도 오산시 청학로 124-4 (궐동),127.064412,37.1599632
정다운약국,"서울특별시 동대문구 이문로54길 46 1층 108호 (이문동, 이문e편한세상아파트상가1동)",127.0644495,37.6054524
세계로약국,서울특별시 성북구 화랑로40길 54 (석관동),127.06449,37.6134502
초록약국,서울특별시 동대문구 한천로2길 107 형인타워 103호 (장안동),127.0644964,37.5624421
신보명약국,서울특별시 동대문구 천호대로79길 66 (장안동),127.0644974,37.5650481
보생한약국,경기도 화성시 동탄반송길 29-1 1층 (반송동),127.064574,37.2108944
메디컬우리약국,서울특별시 동대문구 휘경로 43 1층 (휘경동),127.0647753,37.5947388
새말약국,"경기도 의정부시 새말로 1 1층 5호 (신곡동, 한남프라자)",127.0648036,37.7477075
뉴석계프라자약국,서울특별시 노원구 석계로 2 (월계동),127.0648357,37.6152528
김약국,서울특별시 노원구 섬밭로 258 건영옴니백화점 5층 (중계동),127.0648461,37.6388763
메디칼희민약국,서울특별시 강남구 영동대로86길 10 1층 (대치동),127.0649277,37.5078239
나우약국,경기도 화성시 삼성전자로 1 1층 (반월동),127.0649603,37.2199887
엔시티약국,경기도 화성시 삼성전자로 1 삼성전자(주) EUV라인 지하1층 (반월동),127.0649603,37.2199887
동틀약국,서울특별시 성동구 동일로 135 (성수동2가),127.0650293,37.5445697
수온누리약국,경기도 화성시 영통로 14-10 토마토프라자 101호 (반월동),127.0650648,37.2331184
동성약국,"서울특별시 강남구 삼성로 212 180호 (대치동, 은마상가에이블럭)",127.0650701,37.4977415
건강온누리약국,"서울특별시 강남구 삼성로 212 B동 1층 195호 (대치동, 은마아파트)",127.0650701,37.4977415
신종로사약국,서울특별시 동대문구 휘경로 47 1층 (휘경동),127.0650834,37.594682
세종약국,경기도 양주시 회정로 107 (덕정동),127.065084,37.8376782
장안수약국,서울특별시 동대문구 천호대로83길 43-1 1층 (장안동),127.0651724,37.5641695
남촌약국,경기도 오산시 성호대로 35 (오산동),127.0651781,37.1494455
경화당약국,서울특별시 노원구 화랑로 337 (월계동),127.0651817,37.6152426
푸른바다약국,"서울특별시 노원구 화랑로 337 106호, 107호 (월계동, 인현빌딩)",127.0651817,37.6152426
맑은샘약국,서울특별시 동대문구 천호대로83길 39 (장안동),127.0652112,37.5640032
뉴메디칼약국,서울특별시 광진구 뚝섬로 496 (자양동),127.0652393,37.5359978
동산약국,경기도 오산시 내삼미로79번길 11 206호 (수청동),127.065276,37.1690388
그린약국,경기도 화성시 효행로 1385 (반월동),127.0652818,37.2310243
이문우량아약국,서울특별시 동대문구 신이문로 27 1층 101호 (이문동),127.0652852,37.6031789
연약국,서울특별시 강남구 영동대로 416 케이티앤지 타워 지하1층 (대치동),127.0653267,37.5065841
청운약국,서울특별시 동대문구 휘경로23길 14 (휘경동),127.0654392,37.5950751
온누리보람약국,"서울특별시 노원구 한글비석로 474 153호 (상계동, 보람상가)",127.0654593,37.6648282
무지개약국,"서울특별시 광진구 뚝섬로 498-1 A,B동 1층 (자양동)",127.0655694,37.5359179
연수약국,"경기도 수원시 영통구 봉영로1517번길 76 210호 (영통동, 동보신명상가)",127.0655756,37.2506602
세교바른약국,경기도 오산시 오산대역로 214 1층 108호 (수청동),127.0655846,37.1708567
행운약국,경기도 연천군 전곡읍 전곡로 205 대림빌딩,127.0656173,38.0302027
왕약국,서울특별시 성동구 광나루로 323 (송정동),127.0656645,37.5484242
조령약국,서울특별시 동대문구 장한로 12 (장안동),127.0656901,37.5625085
우약국,"서울특별시 노원구 섬밭로 209 109호 (하계동, 벽산상가)",127.0656985,37.6350711
동산약국,"서울특별시 노원구 동일로 1280 1층 109호,110호 (중계동, 무지개아파트단지내상가)",127.0657465,37.6434986
그랜드온누리약국,서울특별시 동대문구 장한로 14 (장안동),127.0657671,37.5626145
삼호약국,"서울특별시 노원구 마들로 111 207, 208호 (월계동, 나상가)",127.0657785,37.6239862
월계우리약국,"서울특별시 노원구 마들로 111 214호 (월계동, 삼호나상가)",127.0657785,37.6239862
삼호성심약국,"서울특별시 노원구 마들로 111 308호 (월계동, 삼호아파트상가)",127.0657785,37.6239862
자민약국,경기도 오산시 내삼미로 93 1층 108호 (수청동),127.0657863,37.170536
웰빙서울온누리약국,서울특별시 광진구 뚝섬로 499 (자양동),127.0658387,37.5361408
다사랑약국,"경기도 용인시 기흥구 예현로 45 103호 (서천동, 천일프라자)",127.0658492,37.2437182
조은약국,서울특별시 노원구 한글비석로 471 (주)맥스아웃 상계빌딩 4층 (상계동),127.0658746,37.6642287
정문약국,경기도 평택시 서정로 294 1층 (서정동),127.0659045,37.0651264
새왕약국,서울특별시 성동구 광나루로 325 (송정동),127.0659195,37.5484452
세일약국,"서울특별시 노원구 한글비석로 24 108호 (하계동, 하계5단지상가)",127.0659227,37.6341951
우리약국,경기도 양주시 회정로 114 금강프라자 112호 (덕정동),127.0659336,37.8372681
더샵온누리약국,경기도 오산시 내삼미로 83 센타프라자 107호 (수청동),127.0660073,37.1696464
오렌지약국,서울특별시 동대문구 한천로 120 (장안동),127.0660205,37.5718204
인애약국,"서울특별시 동대문구 휘경로 60 101동 상가동 104호 (휘경동, 휘경SK VIEW 아파트)",127.0660879,37.5936319
햇살약국,서울특별시 동대문구 장한로 22 2층 (장안동),127.0661486,37.5632206
새봄약국,서울특별시 광진구 뚝섬로 503 1층 (자양동),127.0661503,37.5360421
혜인약국,서울특별시 노원구 노원로34길 92 (상계동),127.0661769,37.6630675
온누리구인당약국,"서울특별시 강남구 삼성로 150 110호 (대치동, 한보미도종합상가)",127.0662067,37.4927978
수진약국,"서울특별시 강남구 삼성로 150 119호 (대치동, 한보미도종합상가)",127.0662067,37.4927978
행복한약국,서울특별시 동대문구 답십리로66길 95 1층 (장안동),127.0662424,37.5685977
아이사랑약국,"서울특별시 노원구 노원로34길 112 1층 (상계동, 코럴빌딩)",127.0663092,37.6639751
신나무실약국,"경기도 수원시 영통구 매영로310번길 36 110호 (영통동, 신안 신성 쌍용 진흥@상가)",127.0663106,37.253479
코끼리약국,서울특별시 동대문구 신이문로24길 4 1층 (이문동),127.0663168,37.602857
우성약국,서울특별시 노원구 한글비석로 463 (상계동),127.0664624,37.6642153
4층현약국,서울특별시 동대문구 천호대로 425 4층 401호 (장안동),127.0664831,37.5618203
센타약국,경기도 평택시 이충로35번길 20-9 이충센타프라자 (이충동),127.0664844,37.0603587
호약국,경기도 평택시 이충로35번길 24 보람플러스2 104호 (이충동),127.0665046,37.0596424
양업약국,경기도 양주시 회정로 120 209호 (덕정동),127.0665151,37.8372483
동호약국,서울특별시 강남구 테헤란로114길 16 1층 1호 (대치동),127.0665666,37.5085851
메디칼갑산약국,서울특별시 동대문구 망우로 123 1층 (휘경동),127.0666048,37.5917173
진약국,"경기도 수원시 영통구 봉영로1517번길 23 1층 (영통동, 벽적골9단지주공아파트상가 )",127.0666214,37.2486079
천사약국,경기도 용인시 기흥구 예현로35번길 2 101-3호 (서천동),127.0666477,37.243893
광교햇살약국,경기도 수원시 영통구 광교중앙로248번길 7-2 원희캐슬 광교 B204호 (하동),127.066655,37.2910271
미그린약국,경기도 용인시 기흥구 흥덕1로 5-8 대동메디칼 1층 (영덕동),127.0666998,37.2696617
한사랑온누리약국,서울특별시 동대문구 신이문로 41 1층 (이문동),127.0667226,37.6031723
세영약국,서울특별시 광진구 뚝섬로27길 65 (자양동),127.0667312,37.5387153
뜨란약국,"경기도 평택시 이충로35번길 22 106호 (이충동, 뜨란프라자)",127.0667461,37.0598138
조현약국,서울특별시 동대문구 장한로6길 10 (장안동),127.0667544,37.5635362
금신당약국,서울특별시 동대문구 천호대로 427-4 1층 (장안동),127.0667795,37.5618445
비전약국,서울특별시 광진구 동일로18길 73 (자양동),127.0668391,37.5389638
메디팜보문약국,"서울특별시 강남구 삼성로 38 1층 113호 (개포동, 개포빌딩)",127.0668591,37.4886965
메디칼미래약국,"서울특별시 강남구 삼성로 38 306호 (개포동, 개포빌딩)",127.0668591,37.4886965
기쁨약국,경기도 오산시 오산로 349 죽산빌딩 1층 (궐동),127.0668691,37.157871
시온약국,서울특별시 노원구 한글비석로 459 1층 (상계동),127.0669599,37.6640887
신라약국,서울특별시 성동구 광나루로11길 26-1 (송정동),127.0670634,37.5501318
상계하나로약국,서울특별시 노원구 한글비석로48길 13 (상계동),127.0670837,37.6648791
조은온누리약국,서울특별시 동대문구 장한로 51 1층 (장안동),127.0671425,37.5657054
조은약국,"서울특별시 성동구 자동차시장1길 85 (용답동,1층)",127.0671622,37.5605143
한마음온누리약국,서울특별시 강남구 개포로 504 메트하임 1층 106호 (개포동),127.0671869,37.4890546
혜성약국,"서울특별시 광진구 능동로3길 5 111호 (자양동, 한강현대아파트종합상가)",127.0671946,37.5333193
성심미소약국,경기도 연천군 전곡읍 전곡로 175 (전곡읍),127.0672083,38.0276237
신세계약국,서울특별시 광진구 뚝섬로 511 (자양동),127.0672338,37.5357568
아너힐즈약국,"서울특별시 강남구 삼성로 11 상가 지상1층 113호 (개포동, 디에이치 아너힐즈)",127.0672555,37.4846559
참소망약국,경기도 오산시 오산로 12 (갈곶동),127.0673273,37.12799
언제나 봄약국,경기도 오산시 문시로 183-4 1층 112호 (외삼미동),127.0673341,37.1907964
건대역약국,서울특별시 광진구 아차산로 218 (자양동),127.0674105,37.5407919
중량약국,서울특별시 동대문구 망우로 131 (휘경동),127.067435,37.5918515
홍약국,"경기도 오산시 역광장로 55 동일빌딩 1층 102,103호 (오산동)",127.0674414,37.1453601
삼우약국,서울특별시 강남구 개포로82길 11 101호 (개포동),127.0674601,37.4885648
다영약국,"경기도 수원시 영통구 광교중앙로 250 113호 (하동, 더죤프라자)",127.0674773,37.2923342
코리아약국,경기도 연천군 전곡읍 전곡로167번길 4 (),127.067485,38.0270883
미소약국,서울특별시 노원구 상계로10길 12 1층 (상계동),127.0676366,37.6569736
럭키약국,경기도 연천군 전곡읍 전곡로 161 (),127.0676429,38.026547
온누리메디칼약국,서울특별시 광진구 아차산로 220 (자양동),127.0676643,37.5406399
태양약국,경기도 연천군 전곡읍 온골로 53 (전곡읍),127.0677016,38.0256903
스타온누리약국,서울특별시 광진구 동일로 178 광진캠퍼스시티 1층 104호 (화양동),127.0677534,37.5478327
국제약국,서울특별시 동대문구 답십리로 248 1층 (장안동),127.0677715,37.5724752
새인선약국,서울특별시 성동구 광나루로11길 41-1 1층 (송정동),127.0678615,37.5515091
이층약국,"서울특별시 광진구 능동로 18 205호 (자양동, 자양동 이튼타워리버3차)",127.0678784,37.5326859
정담은약국,서울특별시 동대문구 답십리로 250 1층 (장안동),127.0678852,37.5724202
광신약국,경기도 연천군 전곡읍 전곡로 168-1 (),127.0678907,38.0270783
세계로약국,서울특별시 노원구 상계로 119 (상계동),127.0679117,37.6579256
행복약국,"경기도 용인시 수지구 신봉1로 175 102호 (신봉동, 진성프라자)",127.0679198,37.3283772
세계로약국,"서울특별시 광진구 아차산로 219 (화양동, 삼영빌딩)",127.0679414,37.5411246
태극약국,경기도 양주시 회정로 132 (덕정동),127.0679455,37.8371846
수약국,"경기도 양주시 회정로 132 403호 (덕정동, 파르코프라자)",127.0679455,37.8371846
보경약국,경기도 연천군 전곡읍 전곡로 166 (전곡읍),127.0679856,38.0268467
법원약국,경기도 수원시 영통구 광교중앙로 256 1층 112호 (하동),127.0680083,37.2926985
장안메디칼약국,"서울특별시 동대문구 사가정로 207 104호,105호 (장안동, 삼협메디스빌딩)",127.0680261,37.5789065
중경당약국,서울특별시 동대문구 장한로 58 1층 (장안동),127.0680896,37.5661179
도담약국,경기도 용인시 수지구 광교중앙로295번길 9 더블유스퀘어광교 205호 (상현동),127.0681154,37.2968955
바하약국,서울특별시 동대문구 한천로 195 1층 (장안동),127.0681216,37.5784091
한신약국,"서울특별시 노원구 한글비석로48길 6 101호 (상계동, 한신2차아파트상가)",127.0681224,37.6647851
서경약국,"서울특별시 노원구 한글비석로48길 6 202호 (상계동, 한신2차아파트상가)",127.0681224,37.6647851
양월약국,서울특별시 강남구 개포로82길 13-11 105호 (개포동),127.0681338,37.4887593
지영온누리약국,"서울특별시 강남구 영동대로 221 (대치동, 서림상가 101호)",127.0681377,37.4986677
전곡종로약국,경기도 연천군 전곡읍 온골로 44 (전곡읍),127.0681455,38.0247763
옵티마건강약국,"서울특별시 노원구 동일로204가길 34 110호 (중계동, 씨앤미빌딩)",127.06816,37.6407272
혜성약국,경기도 연천군 전곡읍 온골로 37 (전곡읍),127.0681783,38.0242592
보광온누리약국,경기도 오산시 오산로 209 (오산동),127.0681826,37.1454049
우리약국,"서울특별시 광진구 능동로 18 105호 (자양동, 이튼타워리버3차)",127.0681986,37.5327596
이화약국,경기도 용인시 수지구 성복1로 106 B04호 (성복동),127.068247,37.316781
그린약국,"경기도 오산시 오산로 235 1층 (오산동, 메디타워)",127.0682606,37.1479851
해동그랜드약국,서울특별시 동대문구 한천로 186 (장안동),127.0682665,37.5774987
구름약국,서울특별시 노원구 섬밭로 152 공릉아파트2단지상가 1층 101호 (공릉동),127.0683015,37.6299419
배타민약국,경기도 오산시 오산로 241-1 (오산동),127.0683061,37.1485324
대장푸른약국,경기도 성남시 분당구 판교대장로 84 105호 (대장동),127.0683409,37.3664195
참약사 대장약국,경기도 성남시 분당구 판교대장로6길 10 107호 (대장동),127.0683797,37.3667327
튼튼약국,경기도 오산시 오산로 305 (오산동),127.0684407,37.1541958
연진약국,서울특별시 광진구 아차산로29길 12 (화양동),127.0684529,37.5414325
중앙약국,경기도 양주시  회정로 134 (덕정동),127.0684721,37.8371569
다나약국,"경기도 양주시 회정로 134 4층 405호 (덕정동, 두리테크 덕정타운)",127.0684721,37.8371569
행복한약국,경기도 양주시 회정로 134 두리테크 덕정타운 111호 (덕정동),127.0684721,37.8371569
늘푸른약국,경기도 양주시 회정로 134 두리테크 덕정타운 4층 (덕정동),127.0684721,37.8371569
이룸약국,"서울특별시 동대문구 한천로58길 47 상가동 1층 101호 (이문동, 쌍용아파트)",127.0685187,37.6003733
온누리두산약국,"서울특별시 성북구 화랑로48길 16 101호 (석관동, 두산아파트상가)",127.0685315,37.6130498
푸른약국,충청남도 아산시 음봉면 음봉로 515-46 109호 (레이크시티플라자),127.0685453,36.8445221
프라자약국,경기도 양주시 고암길 306-77 (덕정동),127.0685865,37.8367555
감초당온누리약국,서울특별시 동대문구 한천로 242 1층 (전농동),127.0686061,37.5825002
우리약국,경기도 연천군 전곡읍 온골로 36 (),127.0686193,38.0242444
연두약국,경기도 용인시 수지구 신봉1로 165 동광프라자 107호 (신봉동),127.0686197,37.327795
21세기 동규약국,경기도 오산시 대원로 1 (오산동),127.068641,37.1466082
시범약국,"경기도 오산시 오산로 214 (원동, 시범약국)",127.0686558,37.1459635
중계우리들약국,서울특별시 노원구 동일로204가길 12 홈플러스 지하2층 (중계동),127.0686561,37.6398605
